IES.PADRE,IES,Programa Académico,GÉNERO,AÑO,Semestre,Total Matriculados
5802,UNIVERSIDAD ECCI,INGENIERIA MECANICA,HOMBRE,2015,1,897
5802,UNIVERSIDAD ECCI,INGENIERIA DE PLASTICOS,MUJER,2015,1,7
5802,UNIVERSIDAD ECCI,INGENIERIA DE PLASTICOS,HOMBRE,2015,1,15
5802,UNIVERSIDAD ECCI,DISEÑO DE MODAS,MUJER,2015,1,52
5802,UNIVERSIDAD ECCI,DISEÑO DE MODAS,HOMBRE,2015,1,9
5802,UNIVERSIDAD ECCI,COMERCIO INTERNACIONAL,MUJER,2015,1,298
5802,UNIVERSIDAD ECCI,COMERCIO INTERNACIONAL,HOMBRE,2015,1,161
5802,UNIVERSIDAD ECCI,CONTADURÍA PÚBLICA,MUJER,2015,1,110
5802,UNIVERSIDAD ECCI,CONTADURÍA PÚBLICA,HOMBRE,2015,1,34
5802,UNIVERSIDAD ECCI,ESPECIALIZACION EN PRODUCCION Y LOGISTICA INTERNACIONAL,MUJER,2015,1,27
5802,UNIVERSIDAD ECCI,ESPECIALIZACION EN PRODUCCION Y LOGISTICA INTERNACIONAL,HOMBRE,2015,1,73
5802,UNIVERSIDAD ECCI,ESPECIALIZACION EN GERENCIA DE MANTENIMIENTO,MUJER,2015,1,18
5802,UNIVERSIDAD ECCI,ESPECIALIZACION EN GERENCIA DE MANTENIMIENTO,HOMBRE,2015,1,184
5802,UNIVERSIDAD ECCI,ESPECIALIZACION EN AUTOMATIZACION INDUSTRIAL,MUJER,2015,1,3
5802,UNIVERSIDAD ECCI,ESPECIALIZACION EN AUTOMATIZACION INDUSTRIAL,HOMBRE,2015,1,22
5802,UNIVERSIDAD ECCI,ESPECIALIZACION EN GERENCIA DE INGENIERIA HOSPITALARIA,MUJER,2015,1,16
5802,UNIVERSIDAD ECCI,ESPECIALIZACION EN GERENCIA DE INGENIERIA HOSPITALARIA,HOMBRE,2015,1,18
5802,UNIVERSIDAD ECCI,ESPECIALIZACION EN TELECOMUNICACIONES INALAMBRICAS,MUJER,2015,1,3
5802,UNIVERSIDAD ECCI,ESPECIALIZACION EN TELECOMUNICACIONES INALAMBRICAS,HOMBRE,2015,1,16
5802,UNIVERSIDAD ECCI,INGENIERIA ELECTRONICA,MUJER,2015,1,54
5802,UNIVERSIDAD ECCI,INGENIERIA ELECTRONICA,HOMBRE,2015,1,447
5802,UNIVERSIDAD ECCI,INGENIERIA DE SISTEMAS,MUJER,2015,1,113
5802,UNIVERSIDAD ECCI,INGENIERIA DE SISTEMAS,HOMBRE,2015,1,367
5802,UNIVERSIDAD ECCI,INGENIERIA BIOMEDICA,MUJER,2015,1,104
5802,UNIVERSIDAD ECCI,INGENIERIA BIOMEDICA,HOMBRE,2015,1,140
5802,UNIVERSIDAD ECCI,INGENIERIA AMBIENTAL,MUJER,2015,1,382
5802,UNIVERSIDAD ECCI,INGENIERIA AMBIENTAL,HOMBRE,2015,1,285
5802,UNIVERSIDAD ECCI,INGENIERIA INDUSTRIAL,MUJER,2015,1,487
5802,UNIVERSIDAD ECCI,INGENIERIA INDUSTRIAL,HOMBRE,2015,1,618
5802,UNIVERSIDAD ECCI,INGENIERIA MECANICA,MUJER,2015,1,34
5802,UNIVERSIDAD ECCI,TECNICO PROFESIONAL EN LENGUAS MODERNAS,MUJER,2015,1,304
5802,UNIVERSIDAD ECCI,TECNICO PROFESIONAL EN LENGUAS MODERNAS,HOMBRE,2015,1,171
5802,UNIVERSIDAD ECCI,PROFESIONAL EN LENGUAS MODERNAS,MUJER,2015,1,472
5802,UNIVERSIDAD ECCI,PROFESIONAL EN LENGUAS MODERNAS,HOMBRE,2015,1,248
5802,UNIVERSIDAD ECCI,TECNICO PROFESIONAL EN MERCADEO Y PUBLICIDAD,MUJER,2015,1,205
5802,UNIVERSIDAD ECCI,TECNICO PROFESIONAL EN MERCADEO Y PUBLICIDAD,HOMBRE,2015,1,255
5802,UNIVERSIDAD ECCI,MERCADEO Y PUBLICIDAD,MUJER,2015,1,157
5802,UNIVERSIDAD ECCI,MERCADEO Y PUBLICIDAD,HOMBRE,2015,1,160
5802,UNIVERSIDAD ECCI,TECNOLOGIA EN GESTION CONTABLE,MUJER,2015,1,146
5802,UNIVERSIDAD ECCI,TECNOLOGIA EN GESTION CONTABLE,HOMBRE,2015,1,80
5802,UNIVERSIDAD ECCI,TECNOLOGIA EN SOPORTE DE TELECOMUNICACIONES,MUJER,2015,1,26
5802,UNIVERSIDAD ECCI,TECNOLOGIA EN SOPORTE DE TELECOMUNICACIONES,HOMBRE,2015,1,146
5802,UNIVERSIDAD ECCI,TECNOLOGIA EN ELECTRONICA INDUSTRIAL,MUJER,2015,1,25
5802,UNIVERSIDAD ECCI,TECNOLOGIA EN ELECTRONICA INDUSTRIAL,HOMBRE,2015,1,323
5802,UNIVERSIDAD ECCI,TECNOLOGIA EN DESARROLLO AMBIENTAL,MUJER,2015,1,850
5802,UNIVERSIDAD ECCI,TECNOLOGIA EN DESARROLLO AMBIENTAL,HOMBRE,2015,1,641
5802,UNIVERSIDAD ECCI,ENFERMERIA,MUJER,2015,1,129
5802,UNIVERSIDAD ECCI,ENFERMERIA,HOMBRE,2015,1,37
5802,UNIVERSIDAD ECCI,TECNOLOGIA EN DESARROLLO INFORMATICO,MUJER,2015,1,108
5802,UNIVERSIDAD ECCI,TECNOLOGIA EN DESARROLLO INFORMATICO,HOMBRE,2015,1,510
5802,UNIVERSIDAD ECCI,TECNOLOGIA EN GESTION DE PROCESOS INDUSTRIALES,MUJER,2015,1,926
5802,UNIVERSIDAD ECCI,TECNOLOGIA EN GESTION DE PROCESOS INDUSTRIALES,HOMBRE,2015,1,1367
5802,UNIVERSIDAD ECCI,TECNOLOGIA EN ELECTROMEDICINA,MUJER,2015,1,171
5802,UNIVERSIDAD ECCI,TECNOLOGIA EN ELECTROMEDICINA,HOMBRE,2015,1,231
5802,UNIVERSIDAD ECCI,TECNOLOGIA EN MECANICA INDUSTRIAL,MUJER,2015,1,56
5802,UNIVERSIDAD ECCI,TECNOLOGIA EN MECANICA INDUSTRIAL,HOMBRE,2015,1,651
5802,UNIVERSIDAD ECCI,TECNOLOGIA EN MECANICA AUTOMOTRIZ,MUJER,2015,1,51
5802,UNIVERSIDAD ECCI,TECNOLOGIA EN MECANICA AUTOMOTRIZ,HOMBRE,2015,1,1819
5802,UNIVERSIDAD ECCI,TECNICA PROFESIONAL EN MECANICA AUTOMOTRIZ,MUJER,2015,1,1
5802,UNIVERSIDAD ECCI,TECNICA PROFESIONAL EN MECANICA AUTOMOTRIZ,HOMBRE,2015,1,19
5802,UNIVERSIDAD ECCI,TECNICA PROFESIONAL EN MECANICA AUTOMOTRIZ,HOMBRE,2015,1,13
5802,UNIVERSIDAD ECCI,TECNICO PROFESIONAL EN COMERCIO EXTERIOR Y NEGOCIOS INTERNACIONALES,MUJER,2015,1,1
5802,UNIVERSIDAD ECCI,TECNOLOGIA EN GESTION DE COMERCIO EXTERIOR,MUJER,2015,1,214
5802,UNIVERSIDAD ECCI,TECNOLOGIA EN GESTION DE COMERCIO EXTERIOR,HOMBRE,2015,1,231
5802,UNIVERSIDAD ECCI,INGENIERIA MECATRONICA,MUJER,2015,1,8
5802,UNIVERSIDAD ECCI,INGENIERIA MECATRONICA,HOMBRE,2015,1,32
5802,UNIVERSIDAD ECCI,TECNOLOGIA EN AUTOMATIZACION Y ROBOTICA INDUSTRIAL,MUJER,2015,1,42
5802,UNIVERSIDAD ECCI,TECNOLOGIA EN AUTOMATIZACION Y ROBOTICA INDUSTRIAL,HOMBRE,2015,1,337
5802,UNIVERSIDAD ECCI,TECNOLOGIA EN PROCESAMIENTO DE PLASTICOS,MUJER,2015,1,4
5802,UNIVERSIDAD ECCI,TECNOLOGIA EN PROCESAMIENTO DE PLASTICOS,HOMBRE,2015,1,19
5802,UNIVERSIDAD ECCI,TECNOLOGIA EN CREACION Y PRODUCCION DE MODA,MUJER,2015,1,174
5802,UNIVERSIDAD ECCI,TECNOLOGIA EN CREACION Y PRODUCCION DE MODA,HOMBRE,2015,1,26
5802,UNIVERSIDAD ECCI,ESPECIALIZACION EN GERENCIA DE LA SEGURIDAD Y SALUD EN EL TRABAJO,MUJER,2015,1,139
5802,UNIVERSIDAD ECCI,ESPECIALIZACION EN GERENCIA DE LA SEGURIDAD Y SALUD EN EL TRABAJO,HOMBRE,2015,1,92
5802,UNIVERSIDAD ECCI,ESTADÍSTICA,MUJER,2015,1,3
5802,UNIVERSIDAD ECCI,ESTADÍSTICA,HOMBRE,2015,1,4
5802,UNIVERSIDAD ECCI,ESPECIALIZACION EN GERENCIA DE LA SEGURIDAD Y SALUD EN EL TRABAJO,MUJER,2015,1,30
5802,UNIVERSIDAD ECCI,ESPECIALIZACION EN GERENCIA DE LA SEGURIDAD Y SALUD EN EL TRABAJO,HOMBRE,2015,1,31
5802,UNIVERSIDAD ECCI,COMERCIO INTERNACIONAL,HOMBRE,2016,1,168
5802,UNIVERSIDAD ECCI,COMERCIO INTERNACIONAL,MUJER,2016,1,281
5802,UNIVERSIDAD ECCI,CONTADURÍA PÚBLICA,HOMBRE,2016,1,44
5802,UNIVERSIDAD ECCI,CONTADURÍA PÚBLICA,MUJER,2016,1,109
5802,UNIVERSIDAD ECCI,ESPECIALIZACION EN PRODUCCION Y LOGISTICA INTERNACIONAL,HOMBRE,2016,1,17
5802,UNIVERSIDAD ECCI,ESPECIALIZACION EN PRODUCCION Y LOGISTICA INTERNACIONAL,MUJER,2016,1,10
5802,UNIVERSIDAD ECCI,ESPECIALIZACION EN GERENCIA DE MANTENIMIENTO,HOMBRE,2016,1,84
5802,UNIVERSIDAD ECCI,ESPECIALIZACION EN GERENCIA DE MANTENIMIENTO,MUJER,2016,1,12
5802,UNIVERSIDAD ECCI,ESPECIALIZACION EN AUTOMATIZACION INDUSTRIAL,HOMBRE,2016,1,12
5802,UNIVERSIDAD ECCI,ESPECIALIZACION EN GERENCIA DE INGENIERIA HOSPITALARIA,HOMBRE,2016,1,4
5802,UNIVERSIDAD ECCI,ESPECIALIZACION EN GERENCIA DE INGENIERIA HOSPITALARIA,MUJER,2016,1,4
5802,UNIVERSIDAD ECCI,ESPECIALIZACION EN TELECOMUNICACIONES INALAMBRICAS,HOMBRE,2016,1,9
5802,UNIVERSIDAD ECCI,INGENIERIA ELECTRONICA,HOMBRE,2016,1,489
5802,UNIVERSIDAD ECCI,INGENIERIA ELECTRONICA,MUJER,2016,1,57
5802,UNIVERSIDAD ECCI,INGENIERIA DE SISTEMAS,HOMBRE,2016,1,351
5802,UNIVERSIDAD ECCI,INGENIERIA DE SISTEMAS,MUJER,2016,1,113
5802,UNIVERSIDAD ECCI,INGENIERIA BIOMEDICA,HOMBRE,2016,1,162
5802,UNIVERSIDAD ECCI,INGENIERIA BIOMEDICA,MUJER,2016,1,127
5802,UNIVERSIDAD ECCI,INGENIERIA AMBIENTAL,HOMBRE,2016,1,349
5802,UNIVERSIDAD ECCI,INGENIERIA AMBIENTAL,MUJER,2016,1,512
5802,UNIVERSIDAD ECCI,INGENIERIA INDUSTRIAL,HOMBRE,2016,1,712
5802,UNIVERSIDAD ECCI,INGENIERIA INDUSTRIAL,MUJER,2016,1,584
5802,UNIVERSIDAD ECCI,INGENIERIA MECANICA,HOMBRE,2016,1,991
5802,UNIVERSIDAD ECCI,INGENIERIA MECANICA,MUJER,2016,1,39
5802,UNIVERSIDAD ECCI,INGENIERIA DE PLASTICOS,HOMBRE,2016,1,20
5802,UNIVERSIDAD ECCI,INGENIERIA DE PLASTICOS,MUJER,2016,1,10
5802,UNIVERSIDAD ECCI,DISEÑO DE MODAS,HOMBRE,2016,1,5
5802,UNIVERSIDAD ECCI,DISEÑO DE MODAS,MUJER,2016,1,70
5802,UNIVERSIDAD ECCI,TECNICO PROFESIONAL EN LENGUAS MODERNAS,HOMBRE,2016,1,12
5802,UNIVERSIDAD ECCI,TECNICO PROFESIONAL EN LENGUAS MODERNAS,MUJER,2016,1,30
5802,UNIVERSIDAD ECCI,PROFESIONAL EN LENGUAS MODERNAS,HOMBRE,2016,1,470
5802,UNIVERSIDAD ECCI,PROFESIONAL EN LENGUAS MODERNAS,MUJER,2016,1,991
5802,UNIVERSIDAD ECCI,MERCADEO Y PUBLICIDAD,HOMBRE,2016,1,88
5802,UNIVERSIDAD ECCI,MERCADEO Y PUBLICIDAD,MUJER,2016,1,115
5802,UNIVERSIDAD ECCI,TECNOLOGIA EN GESTION CONTABLE,HOMBRE,2016,1,88
5802,UNIVERSIDAD ECCI,TECNOLOGIA EN GESTION CONTABLE,MUJER,2016,1,165
5802,UNIVERSIDAD ECCI,TECNOLOGIA EN SOPORTE DE TELECOMUNICACIONES,HOMBRE,2016,1,187
5802,UNIVERSIDAD ECCI,TECNOLOGIA EN SOPORTE DE TELECOMUNICACIONES,MUJER,2016,1,24
5802,UNIVERSIDAD ECCI,TECNOLOGIA EN ELECTRONICA INDUSTRIAL,HOMBRE,2016,1,344
5802,UNIVERSIDAD ECCI,TECNOLOGIA EN ELECTRONICA INDUSTRIAL,MUJER,2016,1,42
5802,UNIVERSIDAD ECCI,TECNOLOGIA EN DESARROLLO AMBIENTAL,HOMBRE,2016,1,753
5802,UNIVERSIDAD ECCI,TECNOLOGIA EN DESARROLLO AMBIENTAL,MUJER,2016,1,1054
5802,UNIVERSIDAD ECCI,ENFERMERIA,HOMBRE,2016,1,36
5802,UNIVERSIDAD ECCI,ENFERMERIA,MUJER,2016,1,180
5802,UNIVERSIDAD ECCI,TECNOLOGIA EN DESARROLLO INFORMATICO,HOMBRE,2016,1,583
5802,UNIVERSIDAD ECCI,TECNOLOGIA EN DESARROLLO INFORMATICO,MUJER,2016,1,118
5802,UNIVERSIDAD ECCI,TECNOLOGIA EN GESTION DE PROCESOS INDUSTRIALES,HOMBRE,2016,1,1357
5802,UNIVERSIDAD ECCI,TECNOLOGIA EN GESTION DE PROCESOS INDUSTRIALES,MUJER,2016,1,944
5802,UNIVERSIDAD ECCI,TECNOLOGIA EN ELECTROMEDICINA,HOMBRE,2016,1,249
5802,UNIVERSIDAD ECCI,TECNOLOGIA EN ELECTROMEDICINA,MUJER,2016,1,205
5802,UNIVERSIDAD ECCI,TECNOLOGIA EN MECANICA INDUSTRIAL,HOMBRE,2016,1,668
5802,UNIVERSIDAD ECCI,TECNOLOGIA EN MECANICA INDUSTRIAL,MUJER,2016,1,50
5802,UNIVERSIDAD ECCI,TECNOLOGIA EN MECANICA AUTOMOTRIZ,HOMBRE,2016,1,2002
5802,UNIVERSIDAD ECCI,TECNOLOGIA EN MECANICA AUTOMOTRIZ,MUJER,2016,1,51
5802,UNIVERSIDAD ECCI,TECNICA PROFESIONAL EN MECANICA AUTOMOTRIZ,HOMBRE,2016,1,46
5802,UNIVERSIDAD ECCI,TECNICA PROFESIONAL EN MECANICA AUTOMOTRIZ,MUJER,2016,1,3
5802,UNIVERSIDAD ECCI,TECNOLOGIA EN GESTION DE COMERCIO EXTERIOR,HOMBRE,2016,1,273
5802,UNIVERSIDAD ECCI,TECNOLOGIA EN GESTION DE COMERCIO EXTERIOR,MUJER,2016,1,302
5802,UNIVERSIDAD ECCI,INGENIERIA MECATRONICA,HOMBRE,2016,1,87
5802,UNIVERSIDAD ECCI,INGENIERIA MECATRONICA,MUJER,2016,1,15
5802,UNIVERSIDAD ECCI,TECNOLOGIA EN AUTOMATIZACION Y ROBOTICA INDUSTRIAL,HOMBRE,2016,1,575
5802,UNIVERSIDAD ECCI,TECNOLOGIA EN AUTOMATIZACION Y ROBOTICA INDUSTRIAL,MUJER,2016,1,52
5802,UNIVERSIDAD ECCI,TECNOLOGIA EN PROCESAMIENTO DE PLASTICOS,HOMBRE,2016,1,30
5802,UNIVERSIDAD ECCI,TECNOLOGIA EN PROCESAMIENTO DE PLASTICOS,MUJER,2016,1,12
5802,UNIVERSIDAD ECCI,TECNOLOGIA EN CREACION Y PRODUCCION DE MODA,HOMBRE,2016,1,22
5802,UNIVERSIDAD ECCI,TECNOLOGIA EN CREACION Y PRODUCCION DE MODA,MUJER,2016,1,161
5802,UNIVERSIDAD ECCI,ESPECIALIZACION EN GERENCIA DE LA SEGURIDAD Y SALUD EN EL TRABAJO,HOMBRE,2016,1,40
5802,UNIVERSIDAD ECCI,ESPECIALIZACION EN GERENCIA DE LA SEGURIDAD Y SALUD EN EL TRABAJO,MUJER,2016,1,82
5802,UNIVERSIDAD ECCI,ESTADÍSTICA,HOMBRE,2016,1,10
5802,UNIVERSIDAD ECCI,ESTADÍSTICA,MUJER,2016,1,6
5802,UNIVERSIDAD ECCI,ESPECIALIZACION EN GERENCIA DE LA SEGURIDAD Y SALUD EN EL TRABAJO,HOMBRE,2016,1,82
5802,UNIVERSIDAD ECCI,ESPECIALIZACION EN GERENCIA DE LA SEGURIDAD Y SALUD EN EL TRABAJO,MUJER,2016,1,127
5802,UNIVERSIDAD ECCI,ESPECIALIZACIÓN EN EDUCACIÓN PARA LA SOSTENIBILIDAD AMBIENTAL,HOMBRE,2016,1,6
5802,UNIVERSIDAD ECCI,ESPECIALIZACIÓN EN EDUCACIÓN PARA LA SOSTENIBILIDAD AMBIENTAL,MUJER,2016,1,8
5802,UNIVERSIDAD ECCI,TECNOLOGIA EN MERCADEO Y DISEÑO PUBLICITARIO,HOMBRE,2016,1,322
5802,UNIVERSIDAD ECCI,TECNOLOGIA EN MERCADEO Y DISEÑO PUBLICITARIO,MUJER,2016,1,294
5802,UNIVERSIDAD ECCI,PROFESIONAL EN LENGUAS MODERNAS,HOMBRE,2016,1,8
5802,UNIVERSIDAD ECCI,PROFESIONAL EN LENGUAS MODERNAS,MUJER,2016,1,15
5802,UNIVERSIDAD ECCI,TECNOLOGIA EN GESTION DEL COMERCIO EXTERIOR,HOMBRE,2016,1,1
5802,UNIVERSIDAD ECCI,DISEÑO DE MODAS,MUJER,2017,1,58
5802,UNIVERSIDAD ECCI,TECNOLOGIA EN GESTION DE COMERCIO EXTERIOR,HOMBRE,2017,1,238
5802,UNIVERSIDAD ECCI,TECNOLOGIA EN GESTION DE COMERCIO EXTERIOR,MUJER,2017,1,292
5802,UNIVERSIDAD ECCI,TECNICA PROFESIONAL EN TECNOLOGIA DE PLASTICOS,MUJER,2017,1,1
5802,UNIVERSIDAD ECCI,COMERCIO INTERNACIONAL,HOMBRE,2017,1,195
5802,UNIVERSIDAD ECCI,COMERCIO INTERNACIONAL,MUJER,2017,1,324
5802,UNIVERSIDAD ECCI,CONTADURÍA PÚBLICA,HOMBRE,2017,1,55
5802,UNIVERSIDAD ECCI,CONTADURÍA PÚBLICA,MUJER,2017,1,123
5802,UNIVERSIDAD ECCI,ESPECIALIZACION EN PRODUCCION Y LOGISTICA INTERNACIONAL,HOMBRE,2017,1,16
5802,UNIVERSIDAD ECCI,ESPECIALIZACION EN PRODUCCION Y LOGISTICA INTERNACIONAL,MUJER,2017,1,9
5802,UNIVERSIDAD ECCI,ESPECIALIZACION EN GERENCIA DE MANTENIMIENTO,HOMBRE,2017,1,87
5802,UNIVERSIDAD ECCI,ESPECIALIZACION EN GERENCIA DE MANTENIMIENTO,MUJER,2017,1,9
5802,UNIVERSIDAD ECCI,ESPECIALIZACION EN GERENCIA DE INGENIERIA HOSPITALARIA,HOMBRE,2017,1,1
5802,UNIVERSIDAD ECCI,INGENIERIA ELECTRONICA,HOMBRE,2017,1,417
5802,UNIVERSIDAD ECCI,INGENIERIA ELECTRONICA,MUJER,2017,1,63
5802,UNIVERSIDAD ECCI,INGENIERIA DE SISTEMAS,HOMBRE,2017,1,377
5802,UNIVERSIDAD ECCI,INGENIERIA DE SISTEMAS,MUJER,2017,1,114
5802,UNIVERSIDAD ECCI,INGENIERIA BIOMEDICA,HOMBRE,2017,1,155
5802,UNIVERSIDAD ECCI,INGENIERIA BIOMEDICA,MUJER,2017,1,125
5802,UNIVERSIDAD ECCI,INGENIERIA AMBIENTAL,HOMBRE,2017,1,349
5802,UNIVERSIDAD ECCI,INGENIERIA AMBIENTAL,MUJER,2017,1,613
5802,UNIVERSIDAD ECCI,INGENIERIA INDUSTRIAL,HOMBRE,2017,1,696
5802,UNIVERSIDAD ECCI,INGENIERIA INDUSTRIAL,MUJER,2017,1,583
5802,UNIVERSIDAD ECCI,INGENIERIA MECANICA,HOMBRE,2017,1,995
5802,UNIVERSIDAD ECCI,INGENIERIA MECANICA,MUJER,2017,1,51
5802,UNIVERSIDAD ECCI,INGENIERIA DE PLASTICOS,HOMBRE,2017,1,20
5802,UNIVERSIDAD ECCI,INGENIERIA DE PLASTICOS,MUJER,2017,1,7
